Quotazioni in euro riferite al 22/09/2014
""
Paese,Valuta,Codice ISO,Codice UIC,Quotazione,Convenzione di cambio,Nota
""
AFGHANISTAN,Afghani,AFN,115,73.2165,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
ALBANIA,Lek,ALL,047,140.005,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
ALGERIA,Dinaro Algerino,DZD,106,104.589,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
ANGOLA,Readjustado Kwanza,AOA,087,125.994,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
ANTIGUA E BARBUDA,Dollaro Caraibi Est,XCD,137,3.46815,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
ANTILLE OLANDESI,Fiorino Antille Olandesi,ANG,132,2.29926,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
ARABIA SAUDITA,Riyal Saudita,SAR,075,4.81767,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
ARGENTINA,Peso Argentina,ARS,216,10.8154,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
ARMENIA,Dram Armenia,AMD,246,523.142,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
ARUBA,Fiorino Aruba,AWG,211,2.29926,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
AUSTRALIA,Dollaro Australiano,AUD,109,1.4481,Quantità di valuta per 1 Euro,QUOTAZIONI DI RIFERIMENTO RILEVATE SECONDO LE PROCEDURE STABILITE NELL'AMBITO DEL SEBC E PUBBLICATE SULLA GU
AZERBAIGIAN,Manat Azerbaigian (nuovo),AZN,271,1.00769,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
BAHAMAS,Dollaro Bahama,BSD,135,1.2845,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
BAHRAIN,Dinaro Bahrain,BHD,136,0.482972,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
BANGLADESH,Taka,BDT,174,99.4358,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
BARBADOS,Dollaro Barbados,BBD,195,2.569,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
BELIZE,Dollaro Belize,BZD,152,2.57247,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
BENIN,Franco CFA,XOF,209,655.957,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
BERMUDA,Dollaro Bermuda,BMD,138,1.2845,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
BHUTAN,Ngultrum,BTN,180,78.2094,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
BIELORUSSIA,Rublo Bielorussia (nuovo),BYR,263,13538.6,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
BOLIVIA,Boliviano,BOB,074,8.87590,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
BOSNIA ERZEGOVINA,Marco Convertibile,BAM,240,1.9558,Quantità di valuta per 1 Euro,CAMBI INDICATIVI CALCOLATI GIORNALMENTE DA BI SULLA BASE DELLE RILEVAZIONI DI MERCATO
